,Growth,Transition,Panic
Growth,0.9886991218474334,0.011300876166419426,1.98614718549728e-09
Transition,0.011815572460314422,0.9789411375784113,0.009243289961274269
Panic,7.800576690192893e-118,0.026610192063584434,0.9733898079364156
